amount,area_code,area_name
420000,E05000821,Bowdon
485000,E05000823,Brooklands
825000,E05000830,Hale Barns
135000,E05000839,Village
515000,E05000831,Hale Central
532000,E05000839,Village
915000,E05000831,Hale Central
313100,E05000823,Brooklands
457500,E05000823,Brooklands
517500,E05000820,Ashton upon Mersey
399000,E05000837,Timperley
495000,E05000833,Priory
295500,E05000832,Longford
229950,E05000826,Davyhulme East
220000,E05000823,Brooklands
192000,E05000822,Broadheath
785000,E05000831,Hale Central
338250,E05000819,Altrincham
120000,E05000832,Longford
115000,E05000834,St Mary's
160000,E05000820,Ashton upon Mersey
165100,E05000827,Davyhulme West
300000,E05000827,Davyhulme West
140000,E05000829,Gorse Hill
168000,E05000829,Gorse Hill
293000,E05000825,Clifford
160000,E05000824,Bucklow-St Martins
395000,E05000838,Urmston
112500,E05000825,Clifford
625000,E05000821,Bowdon
360000,E05000828,Flixton
160000,E05000836,Stretford
310000,E05000821,Bowdon
190000,E05000829,Gorse Hill
277000,E05000819,Altrincham
380000,E05000830,Hale Barns
114000,E05000832,Longford
220000,E05000828,Flixton
342500,E05000837,Timperley
265000,E05000827,Davyhulme West
208000,E05000819,Altrincham
400000,E05000820,Ashton upon Mersey
365000,E05000833,Priory
435000,E05000821,Bowdon
240000,E05000837,Timperley
540000,E05000831,Hale Central
495000,E05000819,Altrincham
470000,E05000819,Altrincham
265500,E05000835,Sale Moor
132500,E05000832,Longford
480000,E05000819,Altrincham
168000,E05000834,St Mary's
199000,E05000839,Village
310000,E05000822,Broadheath
226000,E05000833,Priory
140000,E05000833,Priory
138000,E05000824,Bucklow-St Martins
85000,E05000834,St Mary's
595000,E05000830,Hale Barns
710000,E05000821,Bowdon
455000,E05000831,Hale Central
375000,E05000833,Priory
420000,E05000831,Hale Central
662500,E05000830,Hale Barns
295000,E05000822,Broadheath
370000,E05000820,Ashton upon Mersey
120000,E05000826,Davyhulme East
310000,E05000819,Altrincham
166500,E05000832,Longford
242500,E05000819,Altrincham
248000,E05000826,Davyhulme East
112500,E05000838,Urmston
387000,E05000822,Broadheath
175000,E05000820,Ashton upon Mersey
220000,E05000839,Village
117000,E05000824,Bucklow-St Martins
181000,E05000829,Gorse Hill
128000,E05000838,Urmston
144500,E05000829,Gorse Hill
280000,E05000823,Brooklands
150000,E05000827,Davyhulme West
160000,E05000832,Longford
345000,E05000827,Davyhulme West
200000,E05000833,Priory
187950,E05000829,Gorse Hill
835000,E05000821,Bowdon
466000,E05000821,Bowdon
450000,E05000821,Bowdon
425000,E05000831,Hale Central
290000,E05000839,Village
142500,E05000827,Davyhulme West
170000,E05000819,Altrincham
365000,E05000835,Sale Moor
170000,E05000829,Gorse Hill
195000,E05000838,Urmston
350000,E05000821,Bowdon
465000,E05000832,Longford
114000,E05000829,Gorse Hill
170000,E05000834,St Mary's
467500,E05000835,Sale Moor
370000,E05000820,Ashton upon Mersey
290000,E05000830,Hale Barns
150000,E05000831,Hale Central
315000,E05000833,Priory
310000,E05000823,Brooklands
200000,E05000835,Sale Moor
305000,E05000831,Hale Central
330000,E05000823,Brooklands
455000,E05000823,Brooklands
250000,E05000832,Longford
115000,E05000824,Bucklow-St Martins
410000,E05000822,Broadheath
235000,E05000837,Timperley
570000,E05000830,Hale Barns
185000,E05000825,Clifford
370000,E05000837,Timperley
165000,E05000830,Hale Barns
230000,E05000833,Priory
600000,E05000831,Hale Central
155000,E05000835,Sale Moor
305000,E05000832,Longford
220000,E05000819,Altrincham
222000,E05000838,Urmston
139950,E05000825,Clifford
386000,E05000819,Altrincham
115000,E05000833,Priory
165000,E05000835,Sale Moor
547500,E05000831,Hale Central
266649,E05000838,Urmston
218000,E05000827,Davyhulme West
390000,E05000821,Bowdon
312500,E05000827,Davyhulme West
236000,E05000828,Flixton
293000,E05000832,Longford
159950,E05000829,Gorse Hill
48000,E05000822,Broadheath
160000,E05000834,St Mary's
835000,E05000831,Hale Central
200000,E05000836,Stretford
85000,E05000824,Bucklow-St Martins
305000,E05000838,Urmston
269950,E05000837,Timperley
198000,E05000828,Flixton
153000,E05000835,Sale Moor
238000,E05000835,Sale Moor
180200,E05000836,Stretford
305000,E05000833,Priory
455000,E05000819,Altrincham
203000,E05000819,Altrincham
200000,E05000832,Longford
192000,E05000819,Altrincham
224000,E05000822,Broadheath
207000,E05000833,Priory
325000,E05000829,Gorse Hill
160000,E05000829,Gorse Hill
359735,E05000830,Hale Barns
140000,E05000834,St Mary's
259950,E05000838,Urmston
1380000,E05000821,Bowdon
1130000,E05000819,Altrincham
350000,E05000834,St Mary's
1100000,E05000830,Hale Barns
195000,E05000828,Flixton
1000000,E05000830,Hale Barns
