amount,area_code,area_name,lat,lon
420000,E05000821,Bowdon,53.380153,-2.350991
485000,E05000823,Brooklands,53.410543,-2.341764
825000,E05000830,Hale Barns,53.36338,-2.308598
135000,E05000839,Village,53.392534,-2.303651
515000,E05000831,Hale Central,53.370777,-2.345023
532000,E05000839,Village,53.395006,-2.313924
915000,E05000831,Hale Central,53.372897,-2.342124
313100,E05000823,Brooklands,53.412398,-2.314143
457500,E05000823,Brooklands,53.411207,-2.326079
517500,E05000820,Ashton upon Mersey,53.421408,-2.332793
399000,E05000837,Timperley,53.391837,-2.338712
495000,E05000833,Priory,53.421202,-2.319354
295500,E05000832,Longford,53.448186,-2.29128
229950,E05000826,Davyhulme East,53.455095,-2.358326
220000,E05000823,Brooklands,53.412805,-2.306594
192000,E05000822,Broadheath,53.403715,-2.36185
785000,E05000831,Hale Central,53.374611,-2.343355
338250,E05000819,Altrincham,53.385875,-2.33647
120000,E05000832,Longford,53.449427,-2.301783
115000,E05000834,St Mary's,53.423361,-2.36006
160000,E05000820,Ashton upon Mersey,53.425791,-2.330976
165100,E05000827,Davyhulme West,53.45845,-2.378189
300000,E05000827,Davyhulme West,53.457776,-2.394749
140000,E05000829,Gorse Hill,53.453304,-2.324685
168000,E05000829,Gorse Hill,53.454474,-2.300253
293000,E05000825,Clifford,53.457139,-2.268164
160000,E05000824,Bucklow-St Martins,53.415865,-2.420329
395000,E05000838,Urmston,53.446469,-2.354625
112500,E05000825,Clifford,53.466151,-2.268958
625000,E05000821,Bowdon,53.380633,-2.352664
360000,E05000828,Flixton,53.448287,-2.379996
160000,E05000836,Stretford,53.446716,-2.311159
310000,E05000821,Bowdon,53.377817,-2.365448
190000,E05000829,Gorse Hill,53.452163,-2.33094
277000,E05000819,Altrincham,53.384367,-2.335661
380000,E05000830,Hale Barns,53.376312,-2.323197
114000,E05000832,Longford,53.444096,-2.295106
220000,E05000828,Flixton,53.451192,-2.385111
342500,E05000837,Timperley,53.40056,-2.3278470000000002
265000,E05000827,Davyhulme West,53.462386,-2.381311
208000,E05000819,Altrincham,53.398355,-2.347652
400000,E05000820,Ashton upon Mersey,53.423255,-2.337954
365000,E05000833,Priory,53.427182,-2.311754
435000,E05000821,Bowdon,53.378222,-2.353456
240000,E05000837,Timperley,53.405247,-2.322829
540000,E05000831,Hale Central,53.379338,-2.337275
495000,E05000819,Altrincham,53.389455,-2.351384
470000,E05000819,Altrincham,53.39204,-2.349315
265500,E05000835,Sale Moor,53.423628,-2.306205
132500,E05000832,Longford,53.449427,-2.301783
480000,E05000819,Altrincham,53.394305,-2.349363
168000,E05000834,St Mary's,53.413069,-2.362892
199000,E05000839,Village,53.395927,-2.309089
