area_name,n,area_code,households,rate
Brooklands,16,E05000823,4269,3.7
Hale Barns,11,E05000830,3809,2.9
Altrincham,12,E05000819,5105,2.4
Stretford,11,E05000836,4718,2.3
Ashton upon Mersey,8,E05000820,4147,1.9
Longford,9,E05000832,4686,1.9
Village,8,E05000839,4523,1.8
Clifford,8,E05000825,4688,1.7
Hale Central,7,E05000831,4181,1.7
Gorse Hill,8,E05000829,5107,1.6
Priory,8,E05000833,4894,1.6
Trafford,137,E08000009,94484,1.4
Broadheath,6,E05000822,5150,1.2
Timperley,5,E05000837,4275,1.2
Bowdon,4,E05000821,3725,1.1
Davyhulme East,3,E05000826,3953,0.8
Bucklow-St Martins,3,E05000824,4423,0.7
Flixton,3,E05000828,4586,0.7
Sale Moor,3,E05000835,4418,0.7
St Mary's,2,E05000834,5024,0.4
Davyhulme West,1,E05000827,4000,0.2
Urmston,1,E05000838,4803,0.2
